id,sex,employment,married,income,signal1
286,M,employed,1,20093,.59123158
287,M,employed,1,5727,0
288,M,employed,0,5324,.14020802
289,M,student,0,0,.92710316
290,F,employed,0,9557,.37535256
291,F,student,0,0,0
292,M,student,1,11171,.34877285
293,F,retired,0,4726,.32017428
294,F,employed,1,46264,.19010518
295,F,retired,0,9073,.11836445
296,M,employed,1,5560,0
297,F,retired,1,1368,.025987063
298,M,unemployed,0,0,.62818098
299,F,employed,1,9278,.23186962
300,F,employed,1,5590,.67002463
301,M,student,0,0,.73131353
302,F,employed,1,6454,.57221931
303,M,employed,1,19779,.71808106
304,M,student,0,0,.93010372
305,M,student,0,16312,.88287205
306,M,employed,1,8408,.54994363
307,M,retired,1,15970,.22323199
308,M,retired,0,66072,.36082482
309,F,student,0,0,.78093433
310,M,student,0,4843,.75092888
311,M,employed,0,9288,0
312,F,employed,0,21735,.45708904
313,M,employed,1,7489,.11166347
314,M,employed,1,98427,0
315,F,employed,1,6148,.64826965
316,F,student,0,0,.89468467
317,F,employed,1,5065,.95697826
318,M,employed,0,8991,.1143788
319,F,student,0,0,.234988
320,M,employed,1,5382,.69601327
321,F,student,0,42353,.89849097
322,F,employed,1,5117,.78841394
323,M,employed,0,8134,.76560146
324,M,retired,0,3281,0
325,F,employed,0,14101,.32962567
326,F,employed,0,45386,.76442707
327,M,employed,1,49094,.69358742
328,M,employed,0,11164,.41902509
329,M,employed,0,98181,.16087537
330,M,employed,1,8726,.38444325
331,F,student,0,0,0
332,F,employed,0,27868,.54920417
333,M,employed,1,215023,.63503385
334,M,employed,1,13711,.18360947
335,M,unemployed,1,0,.52249128
336,M,employed,1,11210,.52142745
337,M,employed,1,16284,.52454931
338,F,employed,1,22103,0
339,F,unemployed,0,5849,.75108588
340,M,employed,1,16259,.00049537938
341,M,unemployed,0,0,0
342,M,employed,1,7983,.41317499
343,M,student,0,4747,.98518759
344,M,employed,1,5011,.89284998
345,M,employed,1,8359,0
346,F,employed,1,21976,0
347,M,employed,1,16265,.51174313
348,M,unemployed,1,0,.1509262
349,M,employed,1,40409,.68345881
350,F,employed,0,15775,.36860368
351,M,student,0,6308,.88936609
352,F,employed,1,14963,.43750513
353,M,employed,0,20056,.55161786
354,M,employed,1,7266,.65080476
355,F,employed,0,11221,.001940436
356,M,unemployed,1,11519,.56193632
357,M,employed,1,6890,.71890813
358,F,employed,1,14692,.32742265
359,F,employed,0,15984,.62475568
360,M,employed,1,6408,.49551544
361,F,employed,1,26029,.82215941
362,M,retired,1,32676,0
363,M,employed,0,8810,.4403621
364,M,unemployed,1,0,.4168053
365,M,student,0,0,.96730971
366,M,student,0,0,.51933122
367,M,employed,0,47467,.56687379
368,M,student,0,101516,.24968004
369,F,employed,0,47343,0
370,M,employed,1,28546,0
371,M,employed,1,25569,.40512541
372,M,student,1,0,.87791085
373,M,employed,1,11306,0
374,F,employed,0,12140,0
375,F,employed,0,6960,.41804576
376,F,unemployed,0,0,.91655058
377,F,unemployed,0,0,0
378,M,student,0,0,.78218448
379,F,unemployed,1,5509,.32854652
380,M,employed,0,141801,0
381,M,employed,0,9566,.83419329
382,M,unemployed,0,8643,.58967054
383,F,employed,1,6445,.74080211
384,M,employed,1,15641,.61226815
385,F,unemployed,1,0,.24218993
386,F,retired,0,9554,.1331141
387,M,unemployed,1,0,0
388,M,unemployed,0,12766,0
389,M,employed,1,14769,.56062531
390,F,unemployed,1,6678,.89024013
391,F,unemployed,1,40497,.029555984
392,M,employed,0,19280,.55111086
393,F,retired,1,16262,.2131184
394,F,unemployed,0,7466,0
395,F,employed,1,5302,.8987385
396,F,employed,1,19844,.65273559
397,M,student,0,0,.11620835
398,M,student,0,0,.85904443
399,F,unemployed,1,0,0
400,F,unemployed,1,0,.72454166
401,M,employed,1,37718,0
402,F,unemployed,1,0,.10835225
403,F,student,0,0,.70851654
404,F,employed,1,9133,.11861418
405,M,employed,1,25922,.54625607
406,M,employed,1,6893,.075105414
407,M,student,0,45122,.88835526
408,M,unemployed,1,7773,.089636475
409,M,unemployed,0,0,.40352893
410,F,employed,1,15755,.047754865
411,M,unemployed,1,0,.74916762
412,M,student,0,0,.83965278
413,F,retired,0,16812,.23482463
414,M,employed,1,20186,.70771617
415,F,employed,1,9068,0
416,M,employed,1,7555,.65154499
417,M,employed,0,30956,0
418,M,employed,1,21732,.026232596
419,F,employed,0,53945,.60201925
420,M,employed,1,10338,.57719904
421,M,employed,1,9275,.6885041
422,M,retired,1,3788,0
423,M,employed,1,6676,.033927176
424,F,employed,0,19987,.59512389
425,F,employed,1,13268,.23528175
426,F,employed,1,26856,.75040603
427,M,employed,1,7248,.12489349
428,M,employed,1,11076,.51451415
429,F,employed,0,6248,.47897008
430,F,unemployed,1,0,.56470507
431,M,employed,1,11731,.17023064
432,M,unemployed,0,13043,0
433,F,unemployed,1,13341,.54677016
434,M,employed,1,29963,.72254306
435,F,student,0,17002,.7644695
436,F,employed,0,11259,.6088562
437,M,student,0,0,.92341703
438,M,employed,0,11021,0
439,F,student,0,22582,.99093598
440,M,retired,0,6417,.069047034
441,M,employed,1,10945,.20525102
442,M,employed,0,9363,.52159321
443,M,employed,0,9524,.2588076
444,M,employed,0,95573,.6250006
445,F,retired,0,2124,.15355122
446,M,employed,1,7449,.55478913
447,M,employed,1,16330,.72251433
448,M,employed,0,13686,.64686787
449,F,unemployed,1,0,.6901226
450,F,employed,1,8208,.81584138
451,F,employed,0,157823,.50254494
452,F,student,0,0,.80092216
453,F,student,0,0,.50109017
454,M,employed,1,6778,.11637344
455,M,student,0,0,.91063702
456,M,employed,1,9394,0
457,F,student,0,0,.85846901
458,F,retired,0,18600,.22303097
459,M,student,1,0,.28820223
460,M,unemployed,0,0,0
461,F,unemployed,1,0,0
462,F,employed,1,17580,.24656023
463,F,retired,1,20527,.30292407
464,M,employed,1,11072,.14103651
465,M,employed,1,37511,.54595792
466,F,student,0,12850,.72643304
467,M,employed,1,13629,.75145352
468,F,student,0,0,.74524969
469,F,employed,0,42223,0
470,M,student,0,0,.31875557
471,F,student,0,0,.30476364
472,M,employed,0,11037,.59030449
473,M,employed,0,8877,.25563124
474,M,employed,1,45719,.71937352
475,F,student,0,6245,.91161585
476,F,unemployed,1,0,0
477,F,employed,1,16577,.62468475
478,M,employed,1,9956,.95334339
479,M,employed,1,138899,.83372426
480,F,employed,1,9130,0
481,F,student,1,22726,.97212064
482,M,employed,1,6079,.76277322
483,F,student,0,3926,.86700356
484,F,employed,1,6320,.6871351
485,M,employed,1,6672,.42081788
486,M,retired,1,7222,.20364125
487,M,unemployed,1,7734,.72162235
488,M,unemployed,1,15075,.11770822
489,M,employed,1,16889,.75537759
490,F,unemployed,1,0,.75283778
491,M,employed,1,8863,.26809666
492,M,employed,1,248375,0
493,M,student,0,0,.9291842
494,M,student,0,0,.74717677
495,M,employed,1,9445,.45064211
496,F,employed,1,235049,0
497,M,unemployed,1,8288,.65249068
498,F,employed,1,13723,0
499,F,unemployed,0,17027,.85990483
500,M,employed,1,16253,.94144976
501,M,employed,1,9026,.72437626
502,M,employed,1,6381,0
503,M,employed,1,9441,.33059123
504,M,employed,1,51689,.62062812
505,M,retired,1,5065,0
506,M,employed,1,32621,.75911462
507,M,retired,1,5470,.011305468
508,M,student,1,0,.26177052
509,M,employed,1,14417,.63040555
510,F,student,1,0,.97246003
511,M,unemployed,1,0,.030734394
512,F,employed,1,10768,.87039149
513,M,employed,1,26072,.50992101
514,M,employed,0,12934,.73242086
515,F,employed,1,4970,0
516,M,employed,1,214822,.47526801
517,M,employed,1,18921,.69146806
518,F,employed,1,7472,0
519,M,employed,0,8518,.8125273
520,M,student,0,82438,.1237348
521,M,employed,1,23595,.076227151
522,F,employed,0,22011,.12148298
523,M,student,0,0,.95838183
524,F,employed,1,27328,.84726608
525,F,employed,1,7074,.60821974
526,M,employed,0,9950,0
527,M,employed,1,41853,.56078911
528,M,employed,1,209524,.90349102
529,F,unemployed,0,6032,0
530,M,employed,1,5504,.84844792
531,F,employed,0,11176,.017263453
532,M,student,0,41920,.39331567
533,F,unemployed,1,37296,.59980518
534,M,employed,0,26060,.81257182
535,M,unemployed,1,8672,.99222708
536,F,employed,1,4919,0
537,M,employed,1,21517,.5153445
538,F,employed,1,24216,.81651753
539,F,employed,1,4950,.34680489
540,M,unemployed,1,12917,.6359809
541,M,unemployed,1,19563,.51045388
542,M,employed,1,15323,.92521
543,M,retired,0,40926,.3471002
544,M,employed,1,55623,.079692438
545,F,employed,1,8700,.90780902
546,F,employed,1,7060,0
547,M,employed,1,10350,.031867977
548,F,employed,1,5147,0
549,M,student,0,0,.76220983
550,F,unemployed,1,11810,.7030381
551,M,employed,1,5818,.32721758
552,F,unemployed,1,10489,.61351818
553,M,retired,0,36446,.22662529
554,M,student,0,11685,.8907398
555,F,unemployed,1,0,0
556,M,employed,1,8763,.50169295
557,M,employed,1,25350,.62384677
558,M,employed,1,12559,.97089344
559,F,retired,1,3089,0
560,M,employed,0,9464,.53361708
561,F,unemployed,1,0,.93298239
562,M,student,0,0,.30525413
563,F,student,0,0,0
564,F,employed,1,34471,0
565,M,employed,1,7961,.6440748
566,M,employed,1,38164,.80509853
567,M,retired,1,6048,.36614865
568,M,unemployed,1,13318,.06044643
569,F,unemployed,0,0,.58435196
570,M,employed,1,19319,.63092846
571,M,unemployed,0,0,.40109375
572,M,employed,1,8077,0
573,F,employed,1,6958,.63693166
574,F,student,0,0,0
575,M,employed,1,26684,.44834185
576,F,employed,1,8368,.51131308
577,M,student,0,2366,.85791332
578,M,employed,0,7709,.59226918
579,F,employed,0,11630,.38031265
580,M,employed,1,12302,.12760897
581,F,employed,0,131934,.7924459
582,M,employed,1,5748,.72131467
583,F,retired,1,56129,0
584,M,employed,1,9629,.059780799
585,M,employed,0,12031,0
586,M,employed,1,8683,.1061469
587,M,student,0,0,0
588,M,employed,0,47281,.53097308
589,M,retired,1,6161,0
590,F,retired,1,3062,0
591,M,employed,1,18369,.50273192
592,F,employed,0,32702,.59292918
593,F,student,0,4419,.95480162
594,M,employed,1,299935,.50246239
595,F,employed,0,7664,.60623932
596,M,retired,1,4822,.23073566
597,M,employed,1,22796,.77352393
598,F,employed,1,6796,.52196562
599,M,student,0,0,.8563475
600,M,student,0,0,0
601,M,unemployed,1,25028,.95777905
602,M,student,0,0,.87441188
603,M,employed,1,26032,.75067526
604,M,student,0,0,.2036759
605,F,employed,1,4460,0
606,F,unemployed,1,8804,.94213498
607,F,employed,0,16352,0
608,F,employed,0,76355,.10805298
609,F,employed,1,5506,.22808337
610,M,employed,1,7987,0
611,M,student,0,0,.91967916
612,M,employed,0,7204,0
613,F,employed,0,60223,.4696044
614,M,employed,0,48390,.22565821
615,M,employed,0,10953,.50509405
616,M,unemployed,1,15327,.73008293
617,F,employed,0,210863,.520666
618,F,unemployed,1,0,.049675778
619,M,employed,1,40956,0
620,M,employed,1,13513,.27606058
621,M,employed,1,26758,0
622,F,employed,1,5263,.96528494
623,F,student,0,0,.93462193
624,F,employed,1,7695,0
625,M,unemployed,0,21785,.57348228
626,F,student,0,13245,.80380082
627,M,student,0,0,0
628,M,unemployed,0,0,.070924215
629,F,unemployed,0,0,.94164324
630,F,employed,1,9363,.55967081
631,M,employed,0,15321,.64147371
632,M,employed,0,46032,.43044153
633,M,unemployed,0,0,.55264771
634,F,employed,1,11557,0
635,M,student,0,0,.85881329
636,F,employed,1,13621,.060410209
637,M,employed,0,8675,.64919955
638,F,student,0,31841,.27984503
639,M,retired,0,5900,.21025474
640,F,employed,1,10109,.57369554
641,M,employed,0,12618,.063701205
642,M,employed,1,16995,.50886571
643,M,student,0,0,.77280802
644,M,employed,1,26175,.71473628
645,M,unemployed,0,25695,.85701621
646,M,employed,1,350347,0
647,M,employed,0,30635,.56906515
648,F,student,0,0,.76610541
649,F,employed,0,17952,0
650,M,student,0,0,.32952374
651,F,student,0,0,.75843257
652,F,employed,0,34936,.93689871
653,M,employed,1,14963,.24651092
654,M,unemployed,1,25705,.62483215
655,F,unemployed,1,0,.5773012
656,M,employed,0,41860,.62150925
657,M,retired,0,6407,0
658,M,retired,1,4128,.24383287
659,F,employed,0,7020,.54630828
660,F,retired,1,7755,.20837064
661,M,employed,1,17876,.63608986
662,F,unemployed,1,0,.58409262
663,F,employed,1,6947,0
664,F,employed,1,5798,0
665,M,employed,0,34981,.73863292
666,M,employed,1,37290,.55373889
667,M,employed,1,16659,.75614631
668,F,employed,0,8187,.58010745
669,F,employed,1,6388,.54368657
670,F,unemployed,0,0,.90200818
671,M,employed,1,6230,.71884501
672,M,employed,1,11367,.49365181
673,M,employed,1,7983,.52415955
674,F,employed,1,6457,.89996016
675,M,retired,0,4941,.21619895
676,F,employed,1,36369,.080569744
677,M,retired,1,6387,0
678,F,student,0,43213,0
679,F,employed,0,36311,.048084445
680,F,unemployed,1,5873,.72832966
681,F,student,0,0,0
682,M,employed,1,10569,.56872499
683,F,employed,1,6102,.67835546
684,F,retired,1,6869,.22060838
685,F,unemployed,0,6657,.69214737
686,F,employed,1,73976,.584279
687,M,employed,0,11155,.87215179
688,M,employed,1,7171,.34190655
689,M,employed,1,8391,.69283104
690,M,retired,1,6590,0
691,F,student,0,6514,.98625356
692,M,employed,0,11597,.77612168
693,M,employed,1,111315,0
694,M,employed,1,20159,.33476493
695,M,employed,1,9646,.54093492
696,M,student,0,0,.96673489
697,F,retired,1,2851,.25592822
698,M,employed,0,8087,.52909124
699,F,employed,1,12420,.55228823
700,F,unemployed,0,0,.59311181
701,M,employed,0,7831,.81491864
702,M,unemployed,0,0,.47378886
703,F,employed,1,17778,.5847764
704,M,retired,0,4527,0
705,F,employed,1,4193,0
706,F,retired,0,4290,.27151817
707,M,employed,1,8136,.67925543
708,F,unemployed,1,13637,.062208276
709,F,employed,1,9589,.65949154
710,M,retired,0,12118,0
711,F,unemployed,1,9363,.75908822
712,M,student,0,0,.85658461
713,M,employed,1,16578,.21732257
714,M,employed,0,9038,.59130788
715,M,student,0,0,.29715133
716,F,retired,1,10142,.098115578
717,M,retired,1,8577,0
718,M,retired,1,19408,0
719,F,unemployed,0,16046,.75680614
720,M,unemployed,0,0,.51925391
721,M,employed,1,17592,.61351913
722,F,employed,0,12797,0
723,M,employed,1,12396,.72347951
724,F,employed,1,6848,.83940172
725,M,unemployed,1,0,0
726,M,retired,0,3521,0
727,M,student,0,4550,.74663484
728,F,student,0,9312,.98818123
729,M,employed,1,49122,.84119767
730,F,unemployed,1,13862,0
731,M,employed,1,30252,.52032024
732,F,employed,0,5713,.77773905
733,F,unemployed,1,6925,.74340969
734,F,retired,0,6285,0
735,F,unemployed,1,30099,.84126651
736,M,student,0,5344,.97156239
737,M,student,0,0,.8117336
738,M,employed,1,9988,.72124815
739,M,employed,1,20498,0
740,M,student,0,0,.068488047
741,M,employed,0,11216,.93709463
742,M,student,0,0,.8479352
743,M,retired,1,6811,0
744,F,employed,1,8449,.73612863
745,F,employed,0,10687,.21333267
746,F,employed,1,5652,.62358874
747,M,employed,1,9552,.59379625
748,F,unemployed,1,14954,.57508188
749,M,employed,1,11747,.84715563
750,F,retired,1,8842,.35692519
751,M,employed,1,41699,.068354569
752,F,student,0,0,.48963514
753,F,unemployed,0,0,0
754,M,employed,0,8554,.9856438
755,M,employed,1,45455,.65775067
756,M,employed,1,20687,.6050663
757,F,employed,1,6701,.47511134
758,F,employed,1,4836,.58975166
759,M,unemployed,0,5891,0
760,M,employed,0,6291,.20493095
761,M,employed,1,13849,.48506534
762,M,retired,0,5125,.33519867
763,M,student,0,0,.72964877
764,F,student,0,0,.80930609
765,M,employed,1,19022,0
766,M,employed,0,11021,.79427201
767,M,student,1,68872,.84816682
768,F,employed,0,50019,.23905391
769,M,employed,1,34586,.23699144
770,M,employed,1,6304,.12947719
771,F,student,0,0,.93526852
772,M,employed,1,61409,0
773,M,student,1,0,.61259341
774,M,student,0,0,.60038143
775,M,employed,1,10580,.19074836
776,F,unemployed,0,0,.96360898
777,F,employed,0,8687,.68598562
778,M,employed,0,5649,0
779,M,employed,1,16200,.62141579
780,M,retired,0,11179,0
781,M,employed,1,7267,.75553554
782,M,employed,1,17206,0
783,M,unemployed,1,0,.74332798
784,F,student,0,0,.29460847
785,F,student,1,0,.9547413
786,M,employed,1,14158,.92661339
787,F,student,0,0,.88769257
788,F,employed,1,33627,.18736234
789,F,employed,0,42760,.50807434
790,M,employed,0,5558,0
791,M,unemployed,0,0,.13646095
792,M,employed,1,25526,.17515433
793,F,employed,1,7002,0
794,M,retired,0,49152,.33840254
795,M,employed,1,10559,.78234285
796,M,employed,1,5466,0
797,M,employed,1,68729,0
798,M,unemployed,1,8843,.61262208
799,M,student,0,8038,.72586834
800,M,student,0,3908,.38616532
801,M,employed,1,244020,0
802,M,employed,0,5852,.33462176
803,F,employed,0,9392,.58549929
804,F,unemployed,0,0,0
805,M,unemployed,0,8496,.95675266
806,F,student,0,4306,.022713641
807,M,unemployed,1,9997,.81479251
808,F,employed,1,12780,.52543283
809,M,student,0,0,.11722054
810,F,employed,1,13772,.76248616
811,M,employed,1,35353,.36165982
812,M,employed,1,29179,.78242916
813,F,employed,1,16776,.52497244
814,M,employed,1,5705,.57307124
815,F,retired,1,25473,.21178305
816,F,employed,1,34360,0
817,F,student,1,0,.85236627
818,F,unemployed,0,0,0
819,F,employed,0,7192,0
820,F,student,0,0,.77292544
821,F,student,0,3240,.3578431
822,M,employed,1,128124,0
823,F,student,0,0,.8949343
824,F,employed,1,7064,.80038393
825,M,retired,0,5222,.081806011
826,M,employed,1,17563,.67409134
827,M,retired,0,11808,.15710759
828,F,student,0,0,.96165586
829,F,unemployed,1,10494,.043502223
830,M,employed,1,108836,.54045838
831,F,unemployed,1,17879,0
832,M,employed,1,9146,0
833,M,employed,1,22148,.76198465
834,F,unemployed,1,8572,.69198263
835,F,employed,0,41077,.92059416
836,F,employed,1,7339,.76224732
837,M,employed,0,126039,.32169861
838,M,unemployed,0,0,.73634005
839,M,employed,0,5848,.60127002
840,M,employed,0,9015,.17276122
841,M,employed,1,9251,.23604105
842,M,employed,0,7672,.34801853
843,F,student,0,0,.15894699
844,M,employed,1,13785,.34393799
845,M,retired,1,13404,.26539674
846,F,retired,1,3742,0
847,F,employed,1,25159,0
848,M,employed,1,15042,.3833704
849,F,employed,1,7285,.50743502
850,M,unemployed,1,0,.59777236
851,F,employed,1,23156,.6347236
852,M,unemployed,1,9593,0
853,F,employed,1,39184,0
854,F,unemployed,0,0,.27021617
855,F,employed,0,6957,0
