id,sex,employment,married,income,signal1
100178,F,retired,0,12845,.34190416
100179,F,employed,1,8934,.66571015
100180,F,employed,0,10680,.32593423
100181,M,unemployed,1,0,.82101083
100182,F,student,0,22297,.48724926
100183,M,employed,0,13725,.38654083
100184,F,employed,0,319415,.73021036
100185,M,employed,0,5845,0
100186,F,employed,1,5761,.20930041
100187,M,unemployed,0,52088,.75682729
100188,F,unemployed,0,0,.56200683
100189,F,employed,1,7649,.8294096
100190,F,employed,1,6420,.47777358
100191,M,retired,0,3762,.33955932
100192,M,employed,1,9432,.40995944
100193,F,employed,1,9238,.93049014
100194,M,employed,1,7583,.56136775
100195,M,employed,0,42709,0
100196,M,employed,1,9068,.29342726
100197,F,employed,1,7485,.47610229
100198,F,unemployed,1,10087,.50291711
100199,F,student,0,0,.9379434
100200,F,employed,1,4165,.54820925
100201,M,employed,1,25975,.18419831
100202,M,employed,1,17410,0
100203,M,employed,1,52042,.19577697
100204,F,retired,1,4745,0
100205,F,employed,0,52765,.54208875
100206,M,unemployed,0,0,.14328125
100207,M,student,0,34757,.84093344
100208,M,student,0,10346,0
100209,M,unemployed,1,0,0
100210,M,student,0,0,.74224174
100211,M,employed,1,55995,.84070992
100212,M,student,0,0,.85511655
100213,M,employed,1,7152,.34164697
100214,M,employed,1,12683,.58741039
100215,F,unemployed,0,0,.33411396
100216,F,unemployed,1,0,.47308859
100217,F,employed,1,16633,0
100218,F,retired,1,6525,.073642671
100219,F,unemployed,1,0,.65287864
100220,F,employed,0,5859,.51718849
100221,M,employed,1,8814,.6235829
100222,F,unemployed,1,0,.60397905
100223,F,employed,1,9549,.55004436
100224,M,employed,0,36015,.7319634
100225,M,employed,1,13232,0
100226,F,student,0,0,.40769857
100227,M,employed,0,15004,.7488243
100228,M,retired,1,3551,.25157312
100229,M,employed,0,16982,.83781278
100230,M,employed,1,34524,.61377037
100231,M,employed,0,11549,.53316844
100232,F,retired,1,3051,0
100233,F,employed,1,6320,.7376641
100234,M,employed,1,13698,.89022106
100235,F,unemployed,1,0,.22545607
100236,M,retired,1,12804,.32459694
100237,F,employed,1,20543,0
100238,M,employed,0,11339,.77877831
100239,F,student,0,0,.89105278
100240,M,employed,1,8207,.58340925
100241,F,unemployed,1,0,0
100242,F,employed,0,10767,.51546139
100243,F,student,0,7495,.86008471
100244,M,employed,1,10998,.72612518
100245,M,unemployed,1,0,.52745557
100246,M,employed,1,6050,.23879927
100247,M,employed,0,8918,0
100248,M,employed,1,11217,.77321768
100249,F,student,0,0,.84031934
100250,M,employed,1,7670,.019798536
100251,F,unemployed,1,0,.25804827
100252,F,retired,0,6765,0
100253,M,employed,1,8003,.21812081
100254,F,student,0,11916,.98168945
100255,F,unemployed,1,0,0
100256,M,unemployed,0,16882,.53523123
100257,F,retired,1,3868,.27158043
100258,M,unemployed,1,33793,.69580293
100259,M,employed,1,6878,.81640053
100260,F,employed,0,5565,.068672277
100261,F,employed,1,8571,0
100262,M,employed,0,14141,0
100263,M,employed,1,54985,.63470763
100264,M,retired,1,4783,.16986251
100265,F,employed,0,8659,.5557639
100266,M,employed,1,15217,.011908487
100267,M,employed,1,13104,.22466132
100268,F,student,0,0,.9208411
100269,M,employed,1,23313,.94603252
100270,F,student,0,0,.87014246
100271,F,unemployed,1,41003,.69881898
100272,F,employed,1,19535,.21968228
100273,F,employed,0,14522,.29505798
100274,F,employed,1,32191,.20982747
100275,F,employed,1,5327,.069664277
100276,M,employed,1,8237,0
100277,F,employed,1,34787,.77506179
100278,M,retired,0,6234,.2674939
100279,M,employed,0,5906,0
100280,M,employed,1,28816,.36445481
100281,F,employed,1,5616,.70830095
100282,M,employed,1,32002,.61461443
100283,M,employed,1,91962,.51553249
100284,F,employed,1,9902,.74112874
100285,M,student,0,0,0
100286,M,employed,1,5131,.70519924
100287,F,unemployed,0,0,0
100288,M,employed,1,33077,.69131333
100289,M,student,1,0,.53656864
100290,M,student,0,7134,.72698408
100291,F,employed,1,18243,.64649552
100292,F,employed,1,5662,.57933307
100293,M,employed,0,8242,.90223294
100294,M,employed,1,7862,0
100295,F,student,0,4052,.98765182
100296,F,retired,1,3008,.22699566
100297,F,unemployed,1,9607,.34095839
100298,M,employed,1,267262,0
100299,F,student,0,7645,.65591574
100300,M,employed,0,6275,.45028722
100301,M,employed,1,10447,0
100302,M,student,0,0,.9654662
100303,M,employed,0,15345,0
100304,M,employed,0,25007,.54472053
100305,F,employed,1,21760,.50766551
100306,M,employed,1,8948,.17277181
100307,M,employed,1,9627,0
100308,F,employed,1,11922,.42259866
100309,M,student,0,0,.58048803
100310,F,unemployed,1,0,.64761972
100311,F,retired,1,2736,.33195436
100312,F,employed,0,76671,0
100313,F,unemployed,0,15767,.7606262
100314,F,unemployed,0,12308,.69235957
100315,M,unemployed,1,0,.50215691
100316,M,employed,1,16725,.54666924
100317,F,unemployed,1,0,.78221107
100318,F,employed,1,13192,.25749853
100319,F,employed,1,12367,.88113654
100320,M,employed,0,133010,.46707913
100321,M,student,0,5334,.90510595
100322,M,employed,1,6821,.60635698
100323,F,unemployed,1,7065,.42148042
100324,M,employed,0,12425,0
100325,F,employed,1,17485,.24220276
100326,M,unemployed,1,13440,.4283562
100327,M,retired,0,18880,0
100328,F,retired,1,8481,.33837813
100329,M,employed,0,14295,.56268764
100330,F,retired,1,3803,0
100331,M,employed,1,15485,0
100332,M,employed,1,7060,.5334115
100333,F,employed,1,6009,.07501284
100334,F,employed,1,27341,0
100335,M,student,0,0,.89561719
100336,M,unemployed,1,0,0
100337,M,employed,1,84967,.13808148
100338,M,student,0,0,0
100339,M,employed,1,32600,.48556939
100340,F,employed,0,5762,.71674842
100341,F,employed,1,71940,0
100342,M,employed,1,10781,0
100343,M,employed,0,45354,.0077508679
100344,F,student,0,0,.74294782
100345,M,student,0,15878,.73774511
100346,M,student,0,0,.8362391
100347,F,student,0,0,.83752704
100348,M,student,0,7521,.84754151
100349,F,retired,1,990,0
100350,M,employed,1,7506,.72992915
100351,F,employed,0,8937,.85354245
100352,F,unemployed,1,0,.54502976
100353,M,employed,1,19913,.50902575
100354,M,unemployed,0,11180,.040857423
100355,M,student,0,0,0
100356,F,employed,0,36663,.31807902
100357,F,student,1,9285,.88234687
100358,M,employed,1,23067,.62193525
100359,M,employed,0,11113,.0037147864
100360,M,employed,0,17865,.18124036
100361,F,unemployed,1,14772,.65582043
100362,M,employed,1,12163,.57922363
100363,M,employed,1,6384,.15287375
100364,F,employed,0,6425,.059062339
100365,M,retired,0,3950,0
100366,F,employed,1,14880,0
100367,F,retired,1,3214,0
100368,F,student,0,4551,.94136602
100369,M,employed,1,6570,.50730944
100370,M,student,0,0,.85465837
100371,F,employed,0,8316,.71136916
100372,M,employed,1,153060,.53003222
100373,F,unemployed,1,0,.029952453
100374,F,unemployed,0,12568,0
100375,M,unemployed,0,0,.96834981
100376,M,employed,1,6338,.65873891
100377,F,employed,1,12155,.67695761
100378,M,employed,1,119175,.51653266
100379,F,employed,1,29204,.12580134
100380,M,employed,1,18491,.35867327
100381,F,unemployed,0,12329,0
100382,M,unemployed,0,0,0
100383,M,student,0,0,.98036581
100384,M,employed,1,10091,.83154923
100385,M,retired,1,12203,.084806092
100386,M,employed,1,28090,.39696914
100387,M,employed,1,8979,0
100388,F,unemployed,1,0,0
100389,M,retired,1,4475,.20922747
100390,M,unemployed,1,0,.80533981
100391,M,unemployed,1,10947,.10179652
100392,M,employed,1,15555,.053175654
100393,F,employed,0,14633,0
100394,M,employed,1,27800,0
100395,F,student,0,0,.8342694
100396,M,employed,0,25815,.49636987
100397,F,retired,1,11196,0
100398,M,employed,1,6124,.61020517
100399,M,employed,1,10218,0
100400,F,employed,1,9947,.65892696
100401,F,student,0,16597,.79785091
100402,M,employed,0,33436,.67835778
100403,M,retired,1,10859,.0020143006
100404,M,unemployed,0,0,0
100405,M,employed,1,31499,0
100406,M,employed,0,11191,.07198301
100407,M,student,0,0,.93215388
100408,M,student,0,0,.97208506
100409,F,employed,1,17551,0
100410,M,student,0,0,.9253695
100411,M,employed,1,56694,.84031004
100412,F,employed,0,34384,.77039218
100413,M,unemployed,1,7014,.14990473
100414,F,unemployed,1,6950,.20172124
100415,M,employed,1,26011,.57153583
100416,F,student,0,9682,.72781491
100417,F,employed,0,26666,.1827525
100418,F,employed,1,8932,.59277546
100419,M,unemployed,1,9537,.29383603
100420,F,unemployed,1,0,.63609374
100421,F,employed,1,11195,.42841133
100422,M,employed,0,7593,.64480931
100423,F,employed,0,18522,0
100424,M,employed,1,6302,0
100425,F,unemployed,1,7268,0
100426,F,employed,0,14884,0
100427,F,unemployed,1,0,.040853325
100428,F,retired,1,3255,0
100429,F,employed,0,10741,.11261609
100430,M,student,0,0,.074909836
100431,M,employed,1,7734,.7296198
100432,M,unemployed,1,0,.7361576
100433,M,unemployed,1,0,.55192119
100434,M,employed,1,25312,.67554075
100435,F,unemployed,1,8656,.52844334
100436,M,retired,1,10193,.21356332
100437,F,retired,1,3765,.106977
100438,F,employed,0,35800,.60031807
100439,M,employed,0,10345,.77911627
100440,M,employed,0,7539,.73439443
100441,M,employed,1,6879,.40126318
100442,M,retired,0,11673,.2432588
100443,F,student,0,0,.36096475
100444,F,employed,1,9027,.55333132
100445,F,student,0,24605,.72360426
100446,M,employed,1,9468,0
100447,M,employed,1,8545,.57400167
100448,M,employed,0,6342,.12142611
100449,F,unemployed,1,0,.1521493
100450,M,retired,1,7309,0
100451,F,unemployed,0,8809,.34962222
100452,M,retired,1,3658,.3418687
100453,F,employed,1,9650,.12302849
100454,M,employed,0,13225,.5492878
100455,F,retired,0,10400,.19695009
100456,M,retired,0,4408,0
100457,M,employed,0,19396,.65287983
100458,M,employed,1,21379,.45715812
100459,M,student,0,0,0
100460,F,employed,1,15867,.66761935
100461,F,student,0,0,.89305574
100462,F,employed,1,5440,.76052862
100463,F,retired,0,3108,0
100464,M,unemployed,1,0,.69282597
100465,M,retired,0,11819,.30128658
100466,M,employed,1,6535,.80592376
100467,F,unemployed,0,12397,.72107422
100468,M,employed,0,6239,.91998523
100469,M,employed,1,28167,0
100470,M,unemployed,1,0,.58108526
100471,F,employed,1,25443,.29155201
100472,M,student,0,0,.73595196
100473,M,retired,0,15827,0
100474,M,employed,0,24507,0
100475,M,employed,1,33246,0
100476,M,employed,1,70841,.42714712
100477,M,employed,1,8477,.35578045
100478,M,employed,0,75724,.33020508
100479,F,unemployed,1,14136,.28359085
100480,F,student,0,0,.95074445
100481,F,unemployed,0,0,.047347639
100482,M,employed,1,6136,.20303375
100483,M,student,0,22625,.84061015
100484,M,employed,1,19843,.60109991
100485,M,employed,1,7346,.76661259
100486,M,employed,0,83878,.89550567
100487,M,employed,1,5129,.058619719
100488,M,student,0,0,.66580427
100489,F,employed,1,23644,.19827099
100490,F,employed,0,9495,.5625453
100491,F,employed,0,6126,.22686405
100492,F,employed,1,7612,.90578932
100493,M,employed,0,9463,.50855172
100494,M,employed,0,17628,.57935226
100495,M,employed,1,7622,0
100496,F,unemployed,1,0,.94169724
100497,F,employed,1,29537,.23761715
100498,M,employed,0,14512,.56341535
100499,F,employed,0,5966,.35613289
100500,F,retired,1,3260,.32808143
100501,M,student,0,0,.78909689
100502,M,employed,1,21891,.65321612
100503,M,employed,0,15858,.51212603
100504,M,unemployed,0,10082,.40744242
100505,M,employed,0,7129,0
100506,M,student,0,8967,.69064349
100507,M,employed,1,14910,.88653475
100508,M,employed,1,7206,.58599836
100509,M,employed,0,5278,.49776345
100510,M,employed,1,8635,.89048904
100511,M,unemployed,1,6594,.57623935
100512,F,employed,1,11345,.83887661
100513,M,employed,1,25887,.20620933
100514,F,unemployed,1,0,.54009199
100515,M,employed,1,13930,.34799036
100516,M,student,0,5219,.88895202
100517,M,unemployed,1,26758,.71985161
100518,M,employed,0,15975,.57705456
100519,M,employed,1,8964,.98003292
100520,M,employed,0,17753,0
100521,F,unemployed,1,27936,.29842874
100522,M,employed,0,56192,.51464242
100523,M,student,0,0,.76487154
100524,F,employed,1,5574,.68429726
100525,M,employed,0,28916,.53826636
100526,M,employed,1,16416,.033195358
100527,F,student,1,15042,.84302509
100528,F,employed,0,29201,.16013414
100529,F,retired,1,7137,.1909938
100530,F,employed,1,13067,.70458817
100531,F,student,0,0,.77935171
100532,F,employed,1,4869,.38678682
100533,F,student,0,2917,.95129734
100534,F,employed,1,13871,.20006852
100535,F,retired,0,3661,.2975755
100536,F,employed,1,7707,.66102225
100537,F,employed,1,19890,.51700413
100538,F,employed,1,14306,0
100539,M,employed,1,28443,.58817446
100540,M,employed,0,6538,.98724341
100541,M,employed,1,29624,.048731666
100542,M,employed,1,22748,.4385691
100543,M,student,0,0,.13552417
100544,M,employed,0,16348,.36245459
100545,M,employed,1,8152,.59806889
100546,M,retired,0,3104,.2032195
100547,M,employed,1,11180,.68809831
100548,M,employed,1,10379,.73216164
100549,M,unemployed,0,16997,.65864825
100550,M,employed,0,9202,.59744984
100551,F,employed,0,13685,.79230303
100552,F,employed,1,24559,.55680996
100553,M,employed,1,8889,.51862365
100554,F,employed,1,11502,.73370385
100555,M,unemployed,1,0,.65112919
100556,F,employed,1,4886,.66245121
100557,F,unemployed,1,14095,0
100558,M,employed,1,9595,.70050794
100559,M,employed,1,23673,.74646527
100560,M,employed,1,9812,0
100561,F,employed,1,8518,.30372074
100562,M,employed,1,17087,0
100563,M,employed,1,7773,.60367626
100564,F,student,0,0,.98358202
100565,M,employed,0,8499,.35512748
100566,M,student,0,0,.89255899
100567,F,unemployed,1,0,0
100568,M,employed,1,98786,.68462062
100569,M,employed,1,180462,0
100570,M,student,0,0,0
100571,F,employed,1,17373,.20345286
100572,F,retired,1,3262,0
100573,F,retired,1,39160,.033013757
100574,M,unemployed,1,0,0
100575,M,employed,1,54820,.50456184
100576,M,employed,1,5958,.54031163
100577,F,student,0,0,.9329868
100578,M,employed,0,6213,.52422762
100579,M,student,0,0,.83359158
100580,M,employed,1,16306,.11283555
100581,M,unemployed,1,9782,0
100582,M,employed,1,20810,.031896479
100583,M,employed,1,11356,.61827672
100584,M,retired,0,9084,.34281871
100585,F,employed,1,32527,.84047091
100586,F,employed,0,20917,.27179143
100587,F,employed,1,10165,.37520429
100588,M,unemployed,1,0,.90149832
100589,F,employed,0,8525,.08097709
100590,M,student,0,0,0
100591,M,unemployed,0,0,0
100592,F,student,0,21508,.039897662
100593,F,employed,0,28822,.32510233
100594,M,employed,1,20094,.73619175
100595,M,retired,1,7670,0
100596,F,employed,1,6173,.78181797
100597,F,unemployed,0,0,.89425892
100598,F,unemployed,1,6238,.62268561
100599,M,employed,1,12280,.59889036
100600,M,retired,1,4364,0
100601,M,employed,0,92290,.65726238
100602,M,employed,0,13104,.20034818
100603,M,employed,1,117340,.67068166
100604,M,employed,1,22018,.38096622
100605,M,employed,1,5407,.52538037
100606,F,student,0,0,.46561861
100607,M,employed,1,7335,.81407768
100608,M,employed,1,8170,.63254648
100609,M,employed,1,12633,.56275272
100610,M,student,1,5084,.88956302
100611,M,retired,1,9376,0
100612,M,student,0,18069,.89554805
100613,M,employed,1,6156,.015773745
100614,M,employed,1,7715,.57399565
100615,M,employed,0,5749,.29539758
100616,F,employed,1,8734,.27669024
100617,F,student,0,12198,.97009307
100618,M,unemployed,1,70117,.64494729
100619,F,unemployed,1,0,.72587526
100620,M,unemployed,1,20898,.19009873
100621,F,retired,0,116583,.27141327
100622,M,employed,1,16525,.0050033685
100623,M,unemployed,0,6572,.80862099
100624,M,employed,1,6831,.50591797
100625,M,retired,1,8708,0
100626,M,student,0,0,.28966621
100627,F,employed,1,5720,0
100628,F,employed,1,107687,.76412821
100629,M,employed,1,13187,.64603931
100630,M,employed,1,89745,.37625587
100631,F,employed,0,12047,.46305808
100632,M,employed,0,7142,.021771966
100633,F,employed,1,7296,.89625579
100634,M,employed,1,23492,.63700265
100635,F,employed,1,5949,.9041236
100636,F,unemployed,1,134408,0
100637,F,retired,1,9926,.37693179
100638,F,employed,0,5404,0
100639,M,employed,0,92045,.71206522
100640,F,unemployed,1,15855,0
100641,F,unemployed,1,0,.17619406
100642,F,employed,1,5685,.31722072
100643,M,employed,1,10848,.84351015
100644,M,employed,0,6533,.11726387
100645,F,employed,1,28241,.44817603
100646,F,employed,1,8529,.79190344
100647,F,unemployed,1,0,0
100648,M,unemployed,1,10304,.59371132
100649,F,student,0,36517,.86949331
100650,M,employed,1,6161,.37518477
100651,M,student,0,0,.22555518
100652,M,retired,0,3185,.004507307
100653,M,unemployed,0,0,.39990994
100654,F,employed,1,9194,0
100655,M,employed,0,44668,.59113312
100656,M,employed,1,8821,.56149215
100657,F,unemployed,1,58119,.27340198
100658,M,unemployed,1,15076,.6147123
100659,F,retired,1,3826,.089259319
100660,M,employed,0,5844,.25551391
100661,M,employed,1,15609,.39328837
100662,M,student,0,8802,.97099996
100663,M,employed,0,9664,.39974102
100664,F,unemployed,1,22101,.60284144
100665,M,employed,0,7504,0
100666,M,employed,1,6608,.46587276
100667,F,retired,1,46184,.170486
100668,F,employed,1,6328,.35304826
100669,M,employed,1,6288,.81392342
100670,M,employed,1,13545,.51571172
100671,M,unemployed,1,0,.96585631
100672,M,employed,1,13341,.26155782
100673,M,employed,0,8802,.67601025
100674,F,unemployed,1,11303,.67903084
100675,M,retired,1,22995,.15448783
100676,F,employed,1,10823,.52958024
100677,F,employed,0,48058,.34878343
100678,M,employed,1,11172,.68784237
100679,F,unemployed,1,6987,.54999065
100680,M,unemployed,1,9947,.12555131
100681,F,retired,1,11669,0
100682,M,employed,1,21424,.64200389
100683,M,employed,1,32599,.63838583
100684,F,employed,1,6765,.55080158
100685,M,employed,0,54994,0
100686,F,student,0,6410,.78034258
100687,M,student,0,0,.982117
100688,M,student,0,0,.85159409
100689,M,retired,1,4268,0
100690,F,unemployed,0,0,.59220183
100691,F,retired,0,7138,0
100692,M,employed,1,26256,.88653332
100693,M,unemployed,1,0,0
100694,M,employed,1,9978,.55703497
100695,M,retired,1,7804,.34058055
100696,F,retired,1,3658,.20137735
100697,F,employed,1,7735,.59890532
100698,M,employed,1,6926,.81860989
100699,F,unemployed,1,0,.43047297
100700,M,employed,0,9493,.94507575
100701,F,employed,1,8686,.56922424
100702,M,employed,0,6321,0
100703,F,student,0,0,.85048079
100704,F,employed,1,9284,.53869826
100705,M,student,0,0,.36499926
100706,F,employed,1,15104,.44014099
100707,M,employed,1,9092,0
100708,F,student,0,10529,.8513006
100709,F,employed,1,71289,.9813692
100710,M,employed,1,13239,.82168519
100711,M,unemployed,1,0,0
100712,F,unemployed,1,7329,.42692956
100713,M,employed,1,8239,.60800987
100714,F,unemployed,1,7389,0
100715,M,retired,1,4966,0
100716,M,retired,1,10426,.21175477
100717,F,employed,0,6146,.67102224
100718,F,employed,1,22342,.58389962
100719,M,employed,0,5275,0
100720,M,retired,0,10917,.22810085
100721,F,student,0,0,.14159769
100722,M,unemployed,1,0,.94741601
100723,M,employed,1,16335,.57239318
100724,F,retired,1,10018,.3372902
100725,M,student,0,0,.86680299
100726,M,student,0,0,.91353178
100727,M,employed,0,11593,.63320518
100728,F,employed,1,13401,.75805622
100729,M,employed,0,6571,.62225527
100730,M,employed,0,10123,.68224788
100731,M,student,0,9886,.48999053
100732,F,student,0,0,.865565
100733,F,employed,1,128580,.89817792
100734,M,employed,1,23570,.13962756
100735,F,employed,1,6180,0
100736,M,student,0,6228,.95106053
100737,M,employed,0,6522,.30363512
100738,F,employed,1,6345,.52396423
100739,M,employed,1,8392,.69353175
100740,M,employed,1,14055,.63708228
100741,F,employed,1,12132,.39021623
100742,F,unemployed,1,7775,.50642717
100743,M,student,0,0,0
100744,M,employed,1,13774,0
100745,F,employed,0,79171,0
100746,F,employed,1,67486,0
100747,M,retired,1,13422,.02587761
100748,F,employed,0,10068,.024175869
100749,M,retired,1,6413,0
100750,M,employed,1,15347,.87114483
100751,M,employed,1,239045,.18354774
100752,M,unemployed,0,13727,0
100753,M,retired,1,11028,0
100754,F,employed,1,4402,.25602025
100755,F,unemployed,1,0,0
100756,M,employed,1,249211,0
100757,F,employed,0,57824,0
100758,F,employed,0,19670,.49361202
100759,F,employed,1,13629,.12176805
100760,F,student,1,0,.40016675
100761,F,retired,1,31599,0
100762,M,unemployed,1,0,0
100763,F,student,1,19911,.61442184
100764,F,retired,0,7138,.2388742
100765,F,employed,0,6724,0
100766,F,employed,1,20685,.63655126
100767,F,retired,1,6057,.24901399
100768,M,student,0,0,.98373854
100769,M,employed,0,6513,0
100770,F,employed,1,6763,0
100771,F,retired,1,9659,.22877355
100772,F,employed,1,52115,.11875788
100773,F,employed,0,6315,.8119092
100774,M,retired,0,3776,.24091479
100775,M,employed,0,12668,.25562957
100776,M,employed,1,29760,.60777324
100777,F,student,0,0,.21753806
100778,M,student,0,0,.78209579
100779,F,employed,1,7758,.81092876
100780,F,employed,1,17572,.090647899
100781,M,employed,0,18339,.26911449
100782,M,employed,1,8559,.16970547
100783,M,employed,0,18084,.81856006
100784,F,student,0,0,.17296511
100785,F,student,0,0,.85040861
100786,F,unemployed,1,0,.51257122
100787,M,employed,0,14346,.37496433
100788,F,employed,0,6049,.42692518
100789,M,employed,1,16124,.10599706
100790,F,student,0,15099,.81085455
100791,F,employed,0,8218,.2510381
100792,F,unemployed,1,0,0
100793,F,retired,1,4064,.29482648
100794,M,employed,1,306134,0
100795,M,employed,1,5651,.5534057
100796,M,employed,1,22381,.57387686
100797,F,retired,1,5616,0
100798,M,employed,0,92290,.67985964
100799,M,unemployed,1,0,0
100800,M,retired,0,217,0
100801,F,employed,1,5624,.39966911
100802,M,employed,0,24501,.92894238
100803,F,student,0,3916,.94553155
100804,M,employed,1,47167,0
