sex,employment,married,income,signal1,signal2,signal3,default,PD1,PD2,PD3
M,employed,0,61020,0.93110704,0.0,0.0020079124,0,0.003306559,0.0079786405,0.004799103
M,employed,1,12378,0.52162308,0.0,0.0,0,0.06964632,0.0754495,0.08649362
M,unemployed,0,7194,0.58116317,0.0,0.0,0,0.098007075,0.11987253,0.12526162
M,student,0,0,0.98621398,0.8468371,0.87038225,0,0.11081605,0.12715739,0.1374132
M,employed,1,42326,0.97512734,0.53461587,0.9877125,0,0.007934243,0.012554766,0.0069040866
M,employed,1,20375,0.46366614,0.092158437,0.68228877,0,0.03276435,0.05509893,0.025246667
M,employed,0,13568,0.49182907,0.98531044,0.0,0,0.059559185,0.036414985,0.06573393
M,employed,1,7386,0.91322678,0.96104151,0.93750334,0,0.08667849,0.075531796,0.08248272
F,employed,1,13085,0.58126312,0.85909259,0.023545494,0,0.052549336,0.037762407,0.11325256
F,employed,1,7153,0.58067632,0.50758451,0.33697918,0,0.10959663,0.13292614,0.15148428
F,unemployed,1,7775,0.09433306,0.97063202,0.0,0,0.1782113,0.043999113,0.10428769
F,retired,1,3324,0.0,0.23797934,0.32726282,1,0.13094768,0.13044581,0.104551554
M,unemployed,1,0,0.38017726,0.24283747,0.63696843,0,0.2946781,0.3014711,0.2213539
F,retired,0,5724,0.33085287,0.030383939,0.0,0,0.09051255,0.16790134,0.117762655
M,retired,0,3711,0.2155848,0.0,0.0,0,0.14452057,0.14607807,0.15220465
M,unemployed,1,9131,0.9133746,0.0,0.8586992,0,0.05759949,0.08889816,0.049578257
F,employed,1,7058,0.7354371,0.56629074,0.38349551,0,0.095368266,0.11794663,0.1422679
M,employed,0,51482,0.16689935,0.75869352,0.79088789,0,0.009774678,0.00303943,0.004524036
F,employed,0,15485,0.52679271,0.44638696,0.46958643,0,0.0535567,0.070975386,0.057210125
M,employed,1,31729,0.40994439,0.53175247,0.16923156,0,0.028636895,0.026169883,0.037589274
F,employed,1,14810,0.57896602,0.59179056,0.77189928,0,0.044689592,0.043563988,0.043575563
F,student,0,0,0.19553955,0.92442268,0.81296372,0,0.27581504,0.12471516,0.14330158
M,retired,1,25415,0.22683807,0.049671538,0.26887548,0,0.017491955,0.023703074,0.013870606
F,student,0,0,0.85790062,0.9252705,0.78960472,0,0.12888789,0.12147291,0.16264123
F,employed,1,76690,0.0,0.0,0.72696269,0,0.0027025845,0.0029751796,0.0019090925
M,unemployed,1,7373,0.45677951,0.80118072,0.0,0,0.12877509,0.08146145,0.12558761
M,student,0,63078,0.80745816,0.98499596,0.37095758,0,0.0029755742,0.0024620374,0.004234367
M,unemployed,1,0,0.5061034,0.53224933,0.21517202,0,0.25358897,0.26059955,0.3124539
F,student,1,0,0.40613773,0.66135991,0.76209891,0,0.21730676,0.1931562,0.17183524
M,student,0,0,0.9731912,0.34872818,0.558061,1,0.104634404,0.22418131,0.18481639
M,employed,0,34978,0.66723377,0.69647443,0.45516506,0,0.0148957595,0.011496693,0.022482306
F,employed,1,11072,0.802715,0.67451203,0.8435961,0,0.059575204,0.057780657,0.051839516
F,unemployed,0,18976,0.49382681,0.33611965,0.0,0,0.027741889,0.037085064,0.027249087
M,employed,1,41964,0.58546191,0.7781828,0.55644655,0,0.010529658,0.008064559,0.016248038
F,employed,1,170276,0.63070726,0.60343707,0.60116667,0,0.0013087715,0.0010440964,0.0016423309
M,employed,1,16306,0.50918907,0.27719688,0.9446457,0,0.047596034,0.06571988,0.029644782
M,employed,1,14458,0.0,0.4932389,0.0,0,0.057753664,0.058003422,0.06293629
M,employed,1,7917,0.74084425,0.05938261,0.0,0,0.07970526,0.2064553,0.13668455
M,employed,0,6809,0.0,0.027699349,0.29798836,0,0.17457524,0.2813866,0.18293278
F,unemployed,1,30375,0.69857532,0.50608677,0.58331907,0,0.01195132,0.018268293,0.014531017
M,employed,1,9876,0.16348596,0.0,0.57012528,1,0.15774131,0.1091637,0.090084456
M,employed,0,10790,0.41946048,0.0,0.54660529,0,0.10174568,0.09287857,0.09065084
M,employed,1,10321,0.84631282,0.64385867,0.0,0,0.06089413,0.069536425,0.10161366
F,employed,1,8448,0.0,0.53376424,0.046724711,0,0.11228652,0.10715845,0.18098472
M,retired,1,5805,0.081881158,0.200802,0.39413807,0,0.16281031,0.12518899,0.122117065
F,student,0,7979,0.32743242,0.97856468,0.0,0,0.09043682,0.04414435,0.07652972
M,employed,0,6114,0.79126978,0.0,0.1954338,0,0.12892066,0.17469892,0.2342399
F,student,0,0,0.87736565,0.31025386,0.99492562,0,0.13502531,0.23372166,0.137329
F,student,0,46391,0.98084641,0.71080339,0.78537989,0,0.0056079966,0.0047043855,0.007660178
F,employed,1,6244,0.92219102,0.76685899,0.0,0,0.09588828,0.12651746,0.17331932
M,employed,0,7321,0.93289459,0.46930069,0.43415564,0,0.07409194,0.15315011,0.14717956
F,unemployed,1,0,0.33900076,0.023734655,0.73712456,0,0.2751809,0.38002363,0.20242006
M,employed,1,5931,0.52768219,0.58881164,0.74380267,0,0.15038969,0.14348003,0.11875244
F,unemployed,1,7988,0.57341635,0.0,0.83529532,0,0.07648947,0.09682324,0.05999718
M,retired,1,11764,0.1382542,0.052022446,0.0,0,0.053907022,0.07085547,0.04526079
F,employed,1,4182,0.62647432,0.49910474,0.046806805,0,0.16307066,0.20368247,0.30362868
M,employed,1,5975,0.86549187,0.81851465,0.6050334,0,0.10304596,0.11766879,0.13144544
F,employed,1,10768,0.48661488,0.81683987,0.51795405,0,0.08301183,0.052980516,0.082335725
M,student,0,0,0.16526607,0.53634804,0.0,0,0.28032994,0.20898739,0.19037929
M,employed,1,29972,0.0,0.80645466,0.650298,0,0.026988596,0.0126751745,0.019467294
M,retired,0,3707,0.34781149,0.0,0.0,1,0.11001736,0.14607807,0.15220465
M,employed,0,16972,0.28992394,0.13800319,0.50603151,0,0.0634011,0.07568068,0.047955208
M,retired,1,3855,0.20150733,0.35355911,0.34323293,0,0.15225044,0.104350604,0.10510684
M,unemployed,1,14472,0.028136179,0.47198808,0.48390254,0,0.07085215,0.04400269,0.042334177
M,employed,1,45330,0.0,0.23337202,0.026123933,0,0.0149643095,0.017043894,0.021187453
M,employed,1,72027,0.1550943,0.58261657,0.87153047,0,0.0036895806,0.0010790584,0.0018827853
F,unemployed,1,0,0.7127707,0.55315852,0.15983348,1,0.18904229,0.24324025,0.3539545
F,employed,1,4927,0.85553712,0.69250143,0.53773516,0,0.10209447,0.12742083,0.14627315
F,student,0,10830,0.0,0.3436349,0.7962482,0,0.034156613,0.049532726,0.028375482
F,employed,1,10804,0.1429273,0.73742014,0.20491976,0,0.123335995,0.06021959,0.1111984
M,employed,1,16828,0.0,0.0,0.83482778,0,0.051752653,0.05194923,0.03183318
F,employed,1,31068,0.68111539,0.0,0.0,0,0.016970277,0.025914015,0.024045428
F,student,0,0,0.6529367,0.58465403,0.92582232,0,0.16774164,0.19677141,0.12998003
F,retired,1,4633,0.20807752,0.0,0.0,0,0.107404396,0.10374523,0.108943686
F,employed,0,7056,0.0,0.64789879,0.096021064,1,0.155213,0.120736755,0.2432203
M,employed,1,242124,0.88866472,0.76191193,0.26973403,0,0.0011439666,0.001004369,0.002283014
M,employed,1,17721,0.65872198,0.0,0.62873554,0,0.0389618,0.05194923,0.03408182
F,employed,1,8273,0.76755059,0.33829296,0.1094439,0,0.07568612,0.12705128,0.17797579
M,employed,1,26273,0.63215667,0.0,0.62956834,0,0.023280151,0.02908791,0.020787245
F,unemployed,1,0,0.78847253,0.64768475,0.87390709,0,0.18752062,0.21265456,0.17932189
F,student,0,10664,0.85758436,0.0,0.93424594,0,0.027968384,0.04181271,0.026135895
M,employed,0,36489,0.61171389,0.0,0.0,0,0.016292647,0.022363264,0.019964695
M,employed,1,15243,0.20869479,0.26736635,0.0,1,0.07144743,0.0740865,0.062285714
M,retired,1,25017,0.21065132,0.23722856,0.29059714,0,0.01802223,0.01548662,0.013500728
M,employed,1,5345,0.74304074,0.0,0.93563783,0,0.12498908,0.163542,0.10978428
M,employed,1,19036,0.87187076,0.32091272,0.20258355,0,0.027309047,0.048983272,0.052231494
M,employed,1,27968,0.0,0.58199465,0.91969657,0,0.031179141,0.019149931,0.014123947
M,employed,1,6477,0.6387834,0.51096517,0.30109498,0,0.13994306,0.15629281,0.16835451
F,employed,1,29322,0.97125167,0.25164369,0.59158236,0,0.014825192,0.032431196,0.020281378
F,employed,1,10004,0.0,0.34902063,0.082688399,0,0.10424737,0.11800682,0.16464248
M,employed,0,6839,0.58469766,0.89856631,0.16164459,0,0.12554374,0.10899039,0.23288906
M,employed,1,11531,0.15881506,0.52095193,0.8089506,0,0.11448623,0.073521934,0.04608735
F,employed,1,7066,0.5831548,0.0,0.093760967,0,0.11053278,0.13855296,0.22239533
F,retired,0,7489,0.39489356,0.20079413,0.0,1,0.062763005,0.09440225,0.088329874
F,student,0,14322,0.6294055,0.477382,0.19764885,0,0.027808188,0.035327222,0.043147884
M,employed,1,19821,0.96533936,0.72267443,0.58436316,0,0.02455238,0.02267695,0.027607758
M,retired,1,8932,0.2783958,0.056953907,0.089077249,0,0.06461179,0.09556439,0.09125339
M,employed,1,56554,0.13922822,0.6275633,0.0,0,0.009519104,0.0028238813,0.0048678704
M,employed,1,16825,0.58043259,0.57948488,0.0,0,0.039093096,0.040905923,0.05537588
F,unemployed,1,0,0.59039658,0.20840745,0.43402076,1,0.21665505,0.31295484,0.27715054
M,employed,1,9130,0.67124969,0.53283823,0.0,1,0.071698494,0.09857168,0.11141142
M,retired,0,7534,0.23832047,0.12486031,0.3855812,0,0.08443993,0.103657395,0.06382055
M,employed,1,30577,0.58916771,0.35726914,0.049382895,0,0.018371526,0.03103491,0.03715245
F,employed,0,12895,0.50516766,0.090763398,0.13534759,1,0.07237509,0.12220057,0.10805949
F,student,0,4790,0.61301839,0.92256945,0.71308881,0,0.12016639,0.08716758,0.11154703
F,employed,0,15678,0.82826328,0.63800907,0.62273467,0,0.04294194,0.04266902,0.040328264
F,employed,0,12776,0.722036,0.67208219,0.19824339,0,0.058058403,0.052073177,0.10359846
F,employed,1,15918,0.60726231,0.64444464,0.66115373,0,0.04212066,0.037137672,0.0384023
F,employed,1,7545,0.0,0.0,0.75068313,1,0.13145454,0.13235533,0.09350475
M,employed,1,32350,0.00023939462,0.28530741,0.99996471,0,0.029084757,0.034740645,0.017390415
M,employed,1,5520,0.90465444,0.33944657,0.0,0,0.117268026,0.18933126,0.18003358
M,employed,1,7436,0.44372588,0.0,0.41682631,0,0.15366045,0.13765465,0.14332402
F,employed,0,9429,0.0,0.51384199,0.78258449,0,0.11441432,0.107707374,0.06983263
F,student,0,0,0.86728871,0.95154083,0.87243754,0,0.12888789,0.11225016,0.14785632
M,employed,1,6093,0.10798031,0.24120764,0.57646322,0,0.25993964,0.20422097,0.13802241
M,employed,0,9869,0.0,0.1350712,0.24350934,1,0.114632525,0.1629517,0.14572391
F,student,1,0,0.25676754,0.0039560348,0.66609633,0,0.22997649,0.18511486,0.177368
F,employed,1,8767,0.0,0.59847522,0.2327424,1,0.110678926,0.08706262,0.13585196
M,unemployed,1,0,0.5014689,0.90127307,0.61589223,1,0.2513836,0.16816239,0.2213539
F,employed,0,7899,0.0,0.77550894,0.61184752,0,0.1350603,0.10208526,0.097179785
F,unemployed,1,0,0.60466945,0.86857992,0.59077305,0,0.21357797,0.17954877,0.22690384
M,employed,1,7435,0.75048238,0.63096839,0.82438743,0,0.094520256,0.10184204,0.08899567
M,employed,1,5790,0.0,0.83763409,0.7285772,0,0.1691037,0.11398471,0.12382986
M,employed,1,11504,0.81836724,0.081007987,0.31186408,1,0.059026405,0.14248115,0.09764838
M,employed,1,70577,0.83305091,0.76913786,0.16401392,0,0.0025808588,0.002179996,0.0058028293
M,employed,0,43747,0.25091344,0.29991734,0.20652029,0,0.02228177,0.018634355,0.020752225
M,employed,1,11929,0.78832364,0.22412984,0.30676544,0,0.05507788,0.09858414,0.09029535
F,employed,0,13180,0.2068202,0.51144505,0.016380945,0,0.083327554,0.06570777,0.11601043
M,employed,1,32486,0.76087749,0.0021709008,0.8088758,1,0.01900367,0.027867112,0.018921657
M,employed,1,5855,0.62212276,0.58621013,0.70480895,1,0.14343509,0.14348003,0.11947425
F,employed,1,16457,0.51086181,0.79414922,0.0,0,0.046230868,0.030696098,0.053145777
F,employed,1,8430,0.53228122,0.0,0.56895107,0,0.10096974,0.112177484,0.09930627
M,unemployed,1,8502,0.82587904,0.0,0.24928269,1,0.062488038,0.0943701,0.120434694
F,employed,1,6619,0.75856209,0.52320635,0.51479709,0,0.11921551,0.15499426,0.14099114
F,employed,0,9897,0.65410012,0.73367494,0.74403739,0,0.08096596,0.08750292,0.074299216
F,employed,1,25914,0.62728459,0.7840867,0.75898081,0,0.022812478,0.01623612,0.020706326
M,student,0,0,0.13687591,0.19330618,0.48396745,0,0.28893936,0.2494336,0.18823214
M,student,0,5907,0.43086991,0.57031316,0.14679608,0,0.14684425,0.12676091,0.19788937
M,employed,1,14387,0.86737293,0.44744834,0.53302896,0,0.041519474,0.066078566,0.053676505
M,employed,1,5740,0.0,0.60801756,0.22138266,0,0.16836178,0.14375328,0.19559373
F,retired,0,2977,0.0,0.0,0.0,0,0.13659401,0.1424463,0.1503709
F,employed,1,12120,0.51112193,0.55417693,0.39090005,0,0.07129268,0.060221028,0.08121934
M,retired,0,5411,0.0,0.25487232,0.25461465,0,0.102886654,0.10202465,0.09118496
M,retired,0,26202,0.0,0.0,0.0,0,0.017066166,0.018834911,0.01835205
M,employed,1,16180,0.95332611,0.82817084,0.12236724,0,0.032033943,0.030258454,0.08112575
M,retired,1,17048,0.26505849,0.22795029,0.21808298,0,0.030295866,0.029720899,0.02844237
F,employed,1,16964,0.60850281,0.55813217,0.73880923,0,0.037867114,0.041234497,0.034613486
F,unemployed,1,0,0.75452572,0.5267446,0.45876899,0,0.19206557,0.25843656,0.27050036
M,employed,1,7372,0.49150875,0.97622567,0.82565677,0,0.13562712,0.069117896,0.08803078
F,employed,1,18914,0.050485712,0.80121475,0.54679972,0,0.06668714,0.025173359,0.03974989
F,employed,0,8684,0.0,0.0,0.68280935,0,0.12271798,0.11979856,0.08184562
M,employed,1,46290,0.898507,0.66808248,0.093374923,0,0.0070572565,0.005409583,0.016077412
M,retired,0,28306,0.0,0.11326619,0.12908155,0,0.015875416,0.020118402,0.019656984
M,retired,0,4214,0.042723857,0.25030288,0.25047284,0,0.19505319,0.12586404,0.111767136
M,employed,1,5603,0.10356894,0.47135794,0.37787545,1,0.26496723,0.17908251,0.1652686
F,student,0,0,0.27924362,0.72230804,0.98308146,1,0.23010767,0.15973803,0.119703546
M,employed,1,28834,0.0,0.15292566,0.72785109,1,0.026875671,0.035282418,0.02116796
M,employed,1,30417,0.18374653,0.52782881,0.75966102,0,0.0365627,0.023328442,0.020569205
F,unemployed,1,0,0.0,0.31014121,0.91509002,0,0.2549786,0.29087296,0.15613557
M,employed,0,6531,0.59537464,0.16040124,0.96508425,0,0.1436525,0.23060879,0.10396538
F,unemployed,0,5366,0.70638341,0.62491244,0.44795704,0,0.13940355,0.14736407,0.18305369
F,unemployed,1,39300,0.98781705,0.0,0.26339662,0,0.007853169,0.0127778575,0.015671657
F,employed,1,45313,0.85291833,0.1424107,0.5799458,0,0.008096525,0.018453069,0.012753236
M,employed,1,32738,0.04103981,0.50236297,0.26079834,0,0.044913556,0.029299201,0.032412477
F,retired,1,6602,0.3624422,0.11085047,0.28544319,0,0.07411421,0.11888001,0.07433006
F,unemployed,1,0,0.68834531,0.7079801,0.40190819,0,0.19025151,0.18907867,0.28695244
F,student,0,0,0.74361163,0.26788458,0.93398798,0,0.16005047,0.23613782,0.13245115
M,employed,1,23032,0.37641293,0.99620575,0.76605344,0,0.03150831,0.03060172,0.022459507
M,employed,1,11008,0.56836998,0.0,0.74670166,0,0.079050556,0.09023388,0.058562823
M,employed,1,6471,0.96683866,0.80621731,0.56696653,0,0.09698869,0.11227781,0.13460213
F,employed,1,10985,0.73137873,0.77601123,0.73189777,0,0.056325074,0.057085536,0.05958368
M,student,1,0,0.7720896,0.59161341,0.75169158,0,0.16339472,0.2043938,0.17341317
M,employed,0,8913,0.53792143,0.63172275,0.51045513,0,0.108052164,0.085389294,0.1178192
F,employed,1,14600,0.0,0.055933446,0.0,0,0.055771302,0.09411869,0.06104786
F,employed,0,26365,0.64394677,0.67578489,0.6517005,0,0.0226069,0.019785564,0.023646465
F,unemployed,1,0,0.0,0.0,0.23963995,0,0.2549786,0.24950142,0.31837875
F,employed,1,46064,0.0,0.84262002,0.4749997,0,0.012374474,0.005258846,0.0110945655
M,employed,1,14071,0.11085034,0.36018464,0.33244744,0,0.0827516,0.068241864,0.06598023
F,employed,0,6374,0.0,0.946356,0.88244611,0,0.1801893,0.10768992,0.11809086
F,unemployed,0,5611,0.16346635,0.17009953,0.58743608,0,0.2672166,0.23117162,0.15275754
M,student,0,15651,0.53773034,0.93568248,0.51790404,0,0.028552707,0.020015037,0.029496193
M,employed,1,13819,0.0,0.48800644,0.71709502,0,0.056395512,0.057137974,0.038347077
F,student,0,8156,0.82743132,0.69795954,0.8368817,0,0.04454755,0.04879044,0.040001795
M,employed,1,7297,0.82637018,0.59278548,0.74624771,0,0.09535825,0.11198579,0.092499636
F,retired,1,3246,0.27417487,0.19228797,0.0,0,0.13644467,0.15451744,0.14365652
M,employed,1,30593,0.11000043,0.77802318,0.78252298,0,0.039286304,0.013252439,0.019076765
F,employed,0,9172,0.57817239,0.21842629,0.089175008,1,0.08974218,0.1349489,0.17942552
M,employed,1,13867,0.65727156,0.6420548,0.50042099,0,0.04049005,0.036891162,0.0521208
M,employed,1,6987,0.66604155,0.59720784,0.31054953,0,0.108032644,0.11932401,0.15826032
M,unemployed,1,0,0.59314662,0.13098556,0.46005076,0,0.22196904,0.33119366,0.27130875
M,employed,1,27713,0.44683936,0.64953434,0.040254053,0,0.02638155,0.016605547,0.04213703
F,retired,0,7478,0.26894802,0.31345829,0.20078607,0,0.08115037,0.06601173,0.08432732
M,student,0,0,0.0,0.0,0.11135374,1,0.17902431,0.185549,0.28478062
F,student,0,0,0.7228353,0.97463137,0.0,0,0.16216654,0.10266559,0.1920391
M,employed,0,7692,0.62615687,0.0,0.0,0,0.10596834,0.13728136,0.14868131
M,retired,0,3602,0.0,0.097956881,0.0049473317,1,0.1363569,0.20874198,0.2264471
M,student,0,0,0.83690226,0.0,0.88211322,0,0.12186126,0.185549,0.12327173
F,employed,1,32606,0.91924483,0.47930175,0.68622339,0,0.017688952,0.029504733,0.019764336
M,employed,1,33980,0.6228978,0.68540543,0.3699902,0,0.017035749,0.011458556,0.021263894
M,student,0,9579,0.0971746,0.5651238,0.81413639,0,0.079455614,0.04610765,0.031301606
M,employed,1,9497,0.0,0.52302331,0.18995817,0,0.10769473,0.099267274,0.14829412
M,student,0,0,0.0,0.94490004,0.85085326,0,0.17902431,0.111089125,0.13845012
M,employed,1,17221,0.0,0.73351079,0.69165868,0,0.05325908,0.034390267,0.034481566
F,student,0,0,0.90821087,0.27579546,0.22063145,0,0.14177878,0.23613782,0.2277718
M,employed,1,18268,0.59519708,0.75537527,0.64986128,0,0.032521278,0.027607258,0.03085345
M,employed,0,8604,0.45282984,0.57234454,0.84755284,0,0.1382712,0.10573195,0.07223535
F,retired,0,6189,0.29248136,0.041524462,0.0,1,0.09209059,0.16695896,0.11512322
F,unemployed,1,5896,0.24174495,0.27788556,0.0,0,0.2061097,0.21040359,0.17707387
F,student,0,0,0.90461993,0.0,0.0,0,0.14177878,0.18545634,0.1920391
M,employed,0,10744,0.8782953,0.60945255,0.80152774,0,0.06241559,0.07253266,0.05506236
F,employed,1,7777,0.39476538,0.0,0.74510008,0,0.13452177,0.123675115,0.0814005
M,employed,0,56627,0.60196584,0.31538689,0.65885031,0,0.0040015285,0.0060098395,0.00490864
F,retired,1,3884,0.0,0.0,0.20042129,0,0.13094768,0.1407575,0.1438221
F,employed,1,67690,0.52465194,0.31045106,0.0,0,0.0036470196,0.00445879,0.0037175682
M,unemployed,1,0,0.84422958,0.80904442,0.78961957,1,0.15470858,0.18180317,0.1905013
F,student,0,17218,0.77688098,0.0,0.82454115,0,0.023156464,0.028717032,0.020734562
F,employed,1,18470,0.68119735,0.36047736,0.0,0,0.029280066,0.050423212,0.043955814
F,employed,1,8474,0.0,0.1278104,0.084484205,0,0.11228652,0.15727301,0.17442569
F,employed,0,20774,0.51594681,0.023372002,0.62896436,0,0.030455796,0.05594865,0.024597226
F,employed,1,17105,0.14583336,0.54542673,0.16977178,0,0.07161686,0.0426713,0.07110595
M,employed,1,9904,0.61575538,0.65995818,0.51877755,0,0.08376128,0.078990996,0.10750142
F,employed,1,6758,0.53464651,0.68109554,0.63966572,0,0.14546165,0.124932356,0.11154425
M,employed,1,11185,0.16214681,0.7423417,0.0,0,0.129408,0.057786994,0.092124864
F,employed,1,12105,0.50190628,0.527358,0.0,0,0.075871766,0.06809529,0.07760576
M,employed,0,7285,0.56370318,0.013242318,0.65943033,0,0.123133995,0.237239,0.099828
F,employed,0,32273,0.052370712,0.58629972,0.87628591,0,0.04766844,0.018488055,0.015001179
F,employed,0,14791,0.56185645,0.0,0.0,1,0.05458622,0.06208449,0.06848888
F,retired,1,7669,0.0,0.32268566,0.17942432,0,0.068841435,0.055708848,0.09113088
F,employed,1,11489,0.22842045,0.71852183,0.96760887,0,0.094121486,0.05018166,0.037506122
M,employed,1,92682,0.61050248,0.15363058,0.0,0,0.0013491907,0.002805663,0.0018786713
M,student,0,0,0.44646138,0.0,0.26013434,1,0.2233597,0.185549,0.22169161
F,student,0,0,0.0,0.43936175,0.0,0,0.18315956,0.22187383,0.1920391
M,student,0,0,0.86986852,0.85842133,0.8688345,1,0.12708257,0.1297383,0.1374132
M,unemployed,1,15155,0.0,0.33516228,0.52309895,0,0.041850496,0.050853092,0.032761656
F,student,0,0,0.87324452,0.94251323,0.85118484,0,0.12888789,0.12020023,0.14132588
M,unemployed,1,18449,0.50214976,0.13580407,0.32942235,0,0.02659755,0.040681258,0.03610941
F,retired,0,5413,0.0,0.11535829,0.0,1,0.10590504,0.13585289,0.11724178
M,employed,1,12922,0.61772335,0.045463368,0.56178761,0,0.054020204,0.123396754,0.06127436
F,employed,0,12636,0.58233261,0.72005844,0.0,0,0.06365944,0.048027124,0.08358818
M,employed,1,56677,0.0,0.0,0.38032725,0,0.0065744286,0.0072886916,0.006535217
M,student,0,0,0.91463888,0.90971315,0.39541355,0,0.13111138,0.13392289,0.20100524
M,employed,0,9673,0.78048629,0.0,0.70414668,0,0.077128746,0.11467715,0.0754921
M,employed,1,5920,0.57880706,0.66291237,0.89225245,0,0.13622375,0.13341296,0.10435345
M,employed,1,26337,0.85645759,0.0,0.56509256,0,0.018901588,0.02908791,0.023652613
M,student,0,12326,0.30778101,0.87199157,0.85513079,0,0.041357394,0.025738781,0.023353724
F,retired,1,2967,0.0,0.20560233,0.098285504,1,0.12896097,0.14373668,0.18590458
F,retired,1,12302,0.2707971,0.0,0.39205369,0,0.038416736,0.040159788,0.032230545
M,employed,0,10843,0.33730328,0.095594391,0.59512049,0,0.106596716,0.15576793,0.07098677
M,employed,0,112958,0.51848054,0.52312279,0.64744985,0,0.0019798665,0.0015764341,0.001847374
M,student,0,0,0.9404307,0.73648411,0.90253514,0,0.1155665,0.17128064,0.12465113
M,employed,1,16277,0.86953688,0.0,0.98429382,0,0.03563919,0.051717468,0.024581654
F,employed,1,53236,0.0,0.0,0.73058802,0,0.006706366,0.0071391547,0.004956386
M,employed,0,8450,0.55346608,0.28979334,0.0,0,0.11035046,0.14911091,0.13052872
F,employed,0,7459,0.44442794,0.73477584,0.52858889,0,0.16275561,0.119235925,0.1321716
M,student,0,21151,0.7915659,0.8921088,0.99927443,0,0.015279233,0.0142830415,0.014774396
M,employed,0,11209,0.52626902,0.73790658,0.61734581,0,0.08576398,0.06680901,0.060776968
F,employed,0,20387,0.0,0.077230208,0.82054126,0,0.03942601,0.0577909,0.0252553
M,employed,1,49138,0.071991861,0.0,0.57526523,0,0.01125309,0.007791293,0.0056277695
M,unemployed,1,0,0.50788349,0.51232588,0.39449212,0,0.25358897,0.2611567,0.2877905
M,unemployed,1,0,0.0,0.0,0.43505684,0,0.25720546,0.25323108,0.2779712
M,employed,1,5201,0.7710622,0.28555763,0.0,0,0.12785068,0.2012087,0.18003358
M,employed,1,7816,0.0,0.91654766,0.57048231,0,0.130279,0.08541699,0.10676963
M,student,1,36068,0.0,0.27077192,0.96672595,0,0.0130603565,0.01711041,0.006210786
F,student,0,0,0.7636106,0.78936327,0.92019945,1,0.16407324,0.14949934,0.12998003
M,employed,1,9201,0.92109948,0.0,0.40963334,0,0.06485669,0.10893653,0.11810092
