id,own,competing2,competing3,borrowertype,accepted,default,profit
553,.030530922,.079999998,.096818633,1,1,0,305.30923
554,.041299645,.077500001,.023252703,2,0,0,
555,.3572433,,,1,1,1,-10000
556,.1467573,.14752381,,2,0,0,
557,.036962848,.019614903,.092525408,2,0,0,
558,.061200216,.10041931,.1449189,1,1,0,612.00214
559,.16305418,.1846828,,1,1,0,1630.5419
560,.13163081,.1525,.11851323,1,1,0,1316.3081
561,.1826524,,,3,1,0,1826.524
562,.31237844,.16500001,.16959687,1,0,0,
563,.23922931,.17830803,,1,0,0,
564,.038030189,.045000002,.020200612,2,0,0,
565,.11726831,.18855798,.15294001,1,1,0,1172.6831
566,.027328676,.037500001,.094862923,3,1,0,273.28674
567,.10535254,.15000001,.14275113,2,1,0,1053.5254
568,.095794067,.067500003,.060539789,3,0,0,
569,.31812814,.22967342,,1,0,0,
570,.047125787,.031903606,.099397779,3,0,0,
571,.40100256,.2175,.30367705,3,0,0,
572,.15821949,.205,.1036615,1,0,0,
573,.14618459,.145,.12015634,2,0,1,
574,.23922931,.19,.19740488,1,0,1,
575,.044210266,.0215894,.021165665,2,0,0,
576,.13793792,.14707999,,3,1,0,1379.3792
577,.13561663,.1175,.14813793,3,0,0,
578,.12690508,.18000001,,3,1,0,1269.0508
579,.11991535,.1000265,.12496352,1,1,0,1199.1536
